TÊN,ẢNH,GIÁ
Trùng Đồng,https://megame365.org/assets/item_images/item_1762286892_690a5d2ca1149.gif,499 Tiên Ngọc
Thất Sát Hồ Lô,https://megame365.org/assets/item_images/item_1762286877_690a5d1d5e680.gif,"1,999 Tiên Ngọc"
Tổ Phù,https://megame365.org/assets/item_images/item_1762286915_690a5d43a6563.gif,"1,999 Tiên Ngọc"
Hứa Lập Quốc,https://megame365.org/assets/item_images/item_1762286839_690a5cf7979b7.gif,"2,999 Tiên Ngọc"
Na Tra Ma Đồng,https://megame365.org/assets/item_images/item_1762286961_690a5d717e220.png,"2,999 Tiên Ngọc"
Ngoan Nhân Đại Đế,https://megame365.org/assets/item_images/item_1762287003_690a5d9b7e71b.gif,"2,999 Tiên Ngọc"
Ngọc Kỳ Lân,https://megame365.org/assets/item_images/item_1762287017_690a5da917335.gif,"2,999 Tiên Ngọc"
Truyền Thừa: Băng Linh Tộc,https://megame365.org/assets/item_images/item_1762286695_690a5c67ac6e4.gif,"3,999 Tiên Ngọc"
Truyền Thừa: Phật Tông,https://megame365.org/assets/item_images/item_1762286721_690a5c81539c3.gif,"3,999 Tiên Ngọc"
Truyền Thừa: Thần Tộc,https://megame365.org/assets/item_images/item_1762286732_690a5c8c14aec.gif,"3,999 Tiên Ngọc"